Materials,,,,,,,,,,,,,,,,,,,,
Name,Type,Conductivity (S/m),Frequency (MHz),Dk,Df,,,,,,,,,,,,,,,
Cu,Metal,5.80E+07,,,,,,,,,,,,,,,,,,
Core,Dielectric,,1.00E+03,3.6,0.007,,,,,,,,,,,,,,,
PP,Dielectric,,1.00E+03,3.5,0.007,,,,,,,,,,,,,,,
SM,Dielectric,,1.00E+03,3.7,0.023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SurfaceRoughness,,,,,,,,,,,,,,,,,,,,
Name,Type,SurfaceRatio/RoughnessFactor,SnowballRadius/RMSValue (um),,,,,,,,,,,,,,,,,
HurayModel_1,Huray,2.5,5.00E-01,,,,,,,,,,,,,,,,,
ModifiedHammerstadModel_1,ModifiedHammerstad,2,1.00E+00,,,,,,,,,,,,,,,,,
ModifiedGroisseModel_1,ModifiedGroisse,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Stackup,,,,,,,,,,,,,,,,,,,,
Layer #,Layer Name,Thickness(mm),Material,Conductivity(S/m),Fill-in Dielectric,Er,Loss Tangent,Shape Name,Trace Width(mm),Trapezoidal Angle(deg),Roughness Upper,Roughness Lower,Roughness Side,Dogleg Hole Threshold(mm),Thermal Hole Threshold(mm),Small Hole Threshold(mm),Via Hole Threshold(mm),Slender Hole Area Threshold(mm^2),Slender Hole Size Threshold(mm),Auto Special Void
,SM$TOP,0.013,SM,,,,,,,,,,,,,,,,,
1,Signal$TOP,0.048,Cu,,SM,,,Signal$TOPpkgshape,0.127,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$41,0.069,PP,,,,,,,,,,,,,,,,,
2,Signal$L02,0.033,Cu,,PP,,,Plane$L02pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$43,0.102,PP,,,,,,,,,,,,,,,,,
3,Signal$L03,0.033,Cu,,PP,,,Signal$L03pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$45,0.381,PP,,,,,,,,,,,,,,,,,
4,Plane$L04,0.066,Cu,,PP,,,Plane$L04pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$47,0.102,Core,,,,,,,,,,,,,,,,,
5,Plane$L05,0.066,Cu,,PP,,,Plane$L05pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$49,0.381,PP,,,,,,,,,,,,,,,,,
6,Plane$L06,0.033,Cu,,PP,,,Signal$L06pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$51,0.102,PP,,,,,,,,,,,,,,,,,
7,Signal$L07,0.033,Cu,,PP,,,Plane$L07pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,Medium$53,0.069,PP,,,,,,,,,,,,,,,,,
8,Signal$L08,0.048,Cu,,SM,,,Signal$L08pkgshape,0.1,90,None,None,None,0.1,0.1,0.1,0.1,0,0,off
,SM$BOTTOM,0.013,SM,,,,,,,,,,,,,,,,,
