Materials,,,,,,,
Name,Type,Conductivity (S/m),Frequency (MHz),Dk,Df,,
Cu,Metal,5.80E+07,,,,,
Core,Dielectric,,1.00E+03,3.6,0.007,,
PP,Dielectric,,1.00E+03,3.5,0.007,,
SM,Dielectric,,1.00E+03,3.7,0.023,,
,,,,,,,
SurfaceRoughness,,,,,,,
Name,Type,SurfaceRatio/RoughnessFactor,SnowballRadius/RMSValue (um),,,,
HurayModel_1,Huray,2.5,5.00E-01,,,,
ModifiedHammerstadModel_1,ModifiedHammerstad,2,1.00E+00,,,,
ModifiedGroisseModel_1,ModifiedGroisse,2,1,,,,
,,,,,,,
Stackup,,,,,,,
Op_Layer_Number,Layer_Name,Thickness_mm,Material,Op_Fillin_Dielectric,Op_Roughness_Upper,Op_Roughness_Lower,Op_Roughness_Side
,Medium$SM_TOP,0.013,SM,,,,
1,Signal$TOP,0.048,Cu,SM,,,
,Medium$0102,0.069,PP,,,,
2,Signal$L02,0.033,Cu,PP,,,
,Medium$0203,0.102,PP,,,,
3,Signal$L03,0.033,Cu,PP,,,
,Medium$0304,0.381,PP,,,,
4,Plane$L04,0.066,Cu,PP,,,
,Medium$0405,0.102,Core,,,,
5,Plane$L05,0.066,Cu,PP,,,
,Medium$0506,0.381,PP,,,,
6,Plane$L06,0.033,Cu,PP,,,
,Medium$0607,0.102,PP,,,,
7,Signal$L07,0.033,Cu,PP,,,
,Medium$0708,0.069,PP,,,,
8,Signal$BOTTOM,0.048,Cu,SM,,,
,Medium$SM_BOTTOM,0.013,SM,,,,
